Model,MDO4014B-3
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,1.5
Sample Interval,2e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,1.4
,
,
,
Label,
TIME,CH1
5.177000e-01,-0.02
5.177200e-01,-0.1
5.177400e-01,-0.24
5.177600e-01,-0.34
5.177800e-01,-0.32
5.178000e-01,0.06
5.178200e-01,0.48
5.178400e-01,0.4
5.178600e-01,-0.1
5.178800e-01,-0.38
5.179000e-01,-0.1
5.179200e-01,0.34
5.179400e-01,0.3
5.179600e-01,-0.12
5.179800e-01,-0.38
5.180000e-01,-0.38
5.180200e-01,-0.12
5.180400e-01,0.32
5.180600e-01,0.46
5.180800e-01,0.3
5.181000e-01,-0.1
5.181200e-01,-0.4
5.181400e-01,-0.28
5.181600e-01,-0.02
5.181800e-01,0.08
5.182000e-01,-0.02
5.182200e-01,-0.26
5.182400e-01,-0.42
5.182600e-01,-0.1
5.182800e-01,0.56
5.183000e-01,0.84
5.183200e-01,0.34
5.183400e-01,-0.58
5.183600e-01,-0.92
5.183800e-01,-0.54
5.184000e-01,0.32
5.184200e-01,0.88
5.184400e-01,0.6
5.184600e-01,-0.2
5.184800e-01,-0.96
5.185000e-01,-0.84
5.185200e-01,0.04
5.185400e-01,1.04
5.185600e-01,1.3
5.185800e-01,0.46
5.186000e-01,-0.76
5.186200e-01,-1.38
5.186400e-01,-0.94
5.186600e-01,0.2
5.186800e-01,1.04
5.187000e-01,1.16
5.187200e-01,0.44
5.187400e-01,-0.52
5.187600e-01,-0.94
5.187800e-01,-0.64
5.188000e-01,0.06
5.188200e-01,0.64
5.188400e-01,0.7
5.188600e-01,0.24
5.188800e-01,-0.42
5.189000e-01,-0.7
5.189200e-01,-0.34
5.189400e-01,0.26
5.189600e-01,0.66
5.189800e-01,0.46
5.190000e-01,-0.04
5.190200e-01,-0.46
5.190400e-01,-0.6
5.190600e-01,-0.32
5.190800e-01,0.22
5.191000e-01,0.68
5.191200e-01,0.52
5.191400e-01,-1.11022e-16
5.191600e-01,-0.6
5.191800e-01,-0.72
5.192000e-01,-0.22
5.192200e-01,0.46
5.192400e-01,0.62
5.192600e-01,0.16
5.192800e-01,-0.5
5.193000e-01,-0.72
5.193200e-01,-0.44
5.193400e-01,0.26
5.193600e-01,0.86
5.193800e-01,0.84
5.194000e-01,0.08
5.194200e-01,-0.74
5.194400e-01,-0.98
5.194600e-01,-0.42
5.194800e-01,0.26
5.195000e-01,0.58
5.195200e-01,0.66
5.195400e-01,0.56
5.195600e-01,0.08
5.195800e-01,-0.64
5.196000e-01,-1.06
5.196200e-01,-0.72
5.196400e-01,0.1
5.196600e-01,0.9
5.196800e-01,0.94
5.197000e-01,0.42
5.197200e-01,-0.2
5.197400e-01,-0.62
5.197600e-01,-0.6
5.197800e-01,-0.26
5.198000e-01,0.06
5.198200e-01,0.14
5.198400e-01,0.32
5.198600e-01,0.48
5.198800e-01,0.44
5.199000e-01,0.08
5.199200e-01,-0.4
5.199400e-01,-0.7
5.199600e-01,-0.54
5.199800e-01,0.02
5.200000e-01,0.66
5.200200e-01,0.9
5.200400e-01,0.28
5.200600e-01,-0.64
5.200800e-01,-0.96
5.201000e-01,-0.56
5.201200e-01,0.32
5.201400e-01,0.9
5.201600e-01,0.78
5.201800e-01,0.1
5.202000e-01,-0.64
5.202200e-01,-0.76
5.202400e-01,-0.52
